mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
1702516;1849484;0;1;0
1707322;26548408;0;1;1
1711126;12636980;0;1;0
1717207;25538114;0;1;0
1724196;11702606;1;1;1
1726205;26217427;0;1;1
1734183;21510189;0;1;1
1738613;20416468;0;1;0
1739410;23715904;0;1;0
1739681;25431771;0;1;1
1741961;26781519;0;1;1
1745988;18713154;0;1;0
1751916;25903306;0;1;1
1753391;1059424;0;1;1
1753391;25946626;0;1;0
1753535;21706793;0;1;1
1754848;19566129;0;1;0
1758365;2307347;0;1;0
1758847;26343923;0;1;1
1759632;2131232;0;1;0
1759632;26771811;0;1;0
1760731;21565436;0;1;0
1764055;10410262;1;1;1
1766061;8749564;1;1;1
1776084;26000572;0;1;1
1790711;24579607;0;1;1
1800448;25401287;0;1;1
1804404;21686407;0;1;0
1804642;3007752;0;1;1
1806232;26221226;0;1;1
1808449;26335998;0;1;0
1809360;38294;0;1;0
1809360;15117582;0;1;1
1809723;20401366;1;1;0
1813932;25255610;0;1;1
1815433;12497250;1;1;0
1817227;19474865;0;1;1
1818045;25203868;0;1;1
1820805;25201629;0;1;1
1823254;8239978;0;1;0
1824011;26201131;0;1;0
1824060;15129298;0;1;1
1834627;1141752;0;1;1
1834627;26519767;0;1;1
1838199;20394154;0;1;1
1838290;26445022;0;1;0
1839335;17078064;0;1;1
1841676;25725538;0;1;1
1842590;26079107;0;1;1
1843092;25261646;0;1;1
1845024;10892345;0;1;1
1848429;26754718;0;1;0
1848957;1920407;0;1;1
1852908;22892724;0;1;1
1859932;20747141;0;1;1
1862002;63944;0;1;0
1863638;25645251;0;1;1
1871325;27637393;0;1;0
1875753;22038945;0;1;0
1878193;5937021;0;1;0
1878193;18595706;0;1;0
1878262;15534508;0;1;1
1881806;26556589;0;1;1
1881806;26578929;0;1;1
1887048;10872025;0;1;0
1887399;26708811;0;1;0
1888012;27053914;0;1;1
1888427;25278067;0;1;1
1889104;25996575;0;1;0
1890108;4637731;0;1;1
1892454;26156514;0;1;1
1893675;26799603;0;1;1
1895387;5723156;0;1;0
1895387;12187016;0;1;0
1898768;12868588;0;1;1
1899597;1538875;0;1;1
1902015;14164443;0;1;1
1902015;25903726;0;1;1
1907354;1732981;0;1;0
1913921;26011248;0;1;1
1914095;16320435;0;1;1
1914095;26011907;0;1;0
1914095;26786705;0;1;0
1917054;26362136;0;1;1
1919067;8273115;0;1;0
1924273;25538734;0;1;0
1932679;26366318;0;1;0
1935147;27219803;0;1;0
1939987;4294990;0;1;0
1941178;26105887;0;1;0
1948930;27347111;0;1;0
1948930;27408478;0;1;0
1949700;24310483;0;1;1
1949940;16126916;0;1;1
1952046;16275650;0;1;1
1952458;26193701;0;1;0
1954918;23772314;0;1;1
1954918;26789392;0;1;0
1956797;5542866;0;1;0
1959913;26409939;0;1;0
1963003;6736123;0;1;1
1967761;26502128;0;1;1
1967797;25675280;0;1;1
1968597;25236858;0;1;1
1974720;25655387;0;1;0
1975231;25545018;0;1;1
1976240;17201370;0;1;0
1979713;8872250;0;1;1
1980115;25535234;0;1;1
1986332;22133582;0;1;1
1986332;25371718;0;1;1
1987024;25949917;0;1;0
1987974;25294939;0;1;1
1988162;11472154;1;1;1
1991283;26380980;0;1;0
1992382;23502382;0;1;1
1999199;25546362;0;1;0
2000607;25276213;0;1;0
2002392;25933547;0;1;1
2004018;20696030;1;1;1
2004418;17761739;0;1;1
2004418;25255611;0;1;1
2004418;26631146;0;1;1
2008951;7997863;0;1;1
2010448;25271964;0;1;0
2014828;26220637;0;1;0
2016969;25384068;0;1;0
2017167;25920892;0;1;0
2021342;26576247;0;1;0
2026757;25923697;0;1;0
2030238;26653685;0;1;0
2035120;24897759;0;1;0
2035673;8081081;0;1;1
2038946;26345300;0;1;0
