mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
259327;9082;351055022133
259372;15600;331000000133
260091;16583;131000000133
260546;8756;131000000233
260631;284;131000000133
261218;5219;131000000133
261919;19;811000000133
261920;5824;811000000133
262184;4166;461064008113
262428;10557;611000000133
262513;10716;811000000131
262531;6897;331000000133
262640;2312;611000000133
262998;10781;131000000131
263421;5666;231000000132
264449;40065;411000000133
264594;10632;341041005233
265706;10010;511000000133
266309;24638;131000000132
267908;2101;511000000133
268385;25089;411000000133
268888;9060;131000000133
269475;1969;231000000133
269753;4665;411000000132
271970;45;331000000113
273161;25853;131000000133
273597;12860;611000000131
274723;9693;131000000133
274724;97;131000000133
275096;3719;611000000133
275130;11155;131000000133
275584;8756;331000000233
276331;10149;711000000131
277027;7628;131000000113
277590;1663;131000000131
278056;9618;611000000133
278113;1234;311000000133
278799;13604;131000000133
280186;4982;711000000131
281259;1619;711000000131
281493;2448;231000000133
282350;22195;711000000131
285784;9150;231000000133
286108;1757;611000000133
287512;3163;131000000133
288109;7720;131000000133
288400;10640;411000000133
288407;22114;131000000233
289118;12610;131000000133
289354;9063;351052009133
289672;31294;711000000133
290086;9668;131000000133
290294;9953;411000000131
290622;9786;411000000133
290702;768;361064001113
290977;611;231000000133
291698;24496;131000000133
291860;9937;231000000113
291968;9328;131000000131
292125;9897;131000000133
293369;1395;131000000133
293801;1987;311000000131
294167;1213;231000000133
294446;22496;131000000133
294661;1472;711000000133
294773;4;231000000133
296487;6112;431000000133
296852;40080;131000000133
297439;5654;411000000133
297897;3387;131000000133
298224;255;331000000133
299572;9421;411000000133
301474;9209;131000000113
301498;31068;431000000133
301541;17817;511000000131
301944;10567;511000000131
302209;10640;711000000133
302878;9889;361064008133
304186; ; 
304477;1443;131000000133
305058;26084;811000000133
305580;9366;511000000133
305922;1443;131000000133
307326;7720;231000000133
307403;9283;431000000233
307608;3249;611000000133
308062;285;411000000133
308168;6895;331000000133
308379;7654;511000000133
308409;9082;341041005133
308972;24496;131000000133
309121;10641;431000000133
309152;22271;811000000133
309725;1522;411000000133
309755;14616;131000000333
310144;10832;311000000133
310360;25386;131000000133
310888;40395;511000000133
311474;10790;711000000133
312321;10716;811000000131
312364;22226;811000000133
312985;1524;511000000133
313111;9208;711000000133
313994;1389;411000000133
314308;527;411000000133
314990;9693;231000000133
315099; ; 
315894; ; 
316626;25091;711000000133
316680;6336;331000000133
319269;774;131000000133
319439;7328;131000000133
320058;4451;131000000133
320059;20037;131000000133
320345;6650;131000000133
320376;14922;411000000133
320753;4534;341041005131
321447;1525;351052010231
322734;3453;311000000133
