mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
26300398;2;0;0;0;-33,498717;-70,6616496
26300411;2;1;0;0;-33,4355608;-70,7694394
26300429;2;1;1;0;-33,4744471;-70,7173133
26300431;4;1;1;0;-32,8574398;-71,2360025
26300441;3;1;0;0;-27,4045888;-70,2943934
26300485;2;0;1;0;-37,0903284;-73,1563785
26300499;1;1;0;0;-22,4587075;-68,9367181
26300545;2;1;0;0;-33,0656722;-71,4127787
26300632;2;0;0;0;-31,7793592;-70,9693237
26300700;2;0;1;0;-33,0017431;-71,5189185
26300710;2;1;0;0;-34,1394117;-70,7341937
26300861;2;1;0;0;-35,7001089;-71,5612369
26300883;2;0;1;0;-27,3882233;-70,29015
26300885;3;1;0;0;-33,5995131;-70,593929
26300984;2;1;0;0;-33,5050169;-70,7982687
26301195;2;0;1;0;-33,6829466;-71,225177
26301407;2;0;0;0;-33,6740819;-71,1829495
26301410;7;0;0;0;-32,8860286;-71,2502554
26301433;4;1;1;0;-20,2706633;-70,1056417
26301618;2;1;0;0;-33,5243995;-70,6357199
26301677;2;0;0;0;-33,4720369;-70,54129
26301799;2;0;0;0;-33,523218;-70,7676332
26301824;1;0;1;0;-33,4991337;-70,6520502
26301895;2;0;1;0;-37,2566135;-73,2352533
26302002;2;0;0;0;-33,0625424;-71,5857517
26302030;3;1;0;0;-33,5130852;-70,662066
26302040;9;1;0;0;-34,4039665;-70,8603726
26302087;2;1;0;0;-33,4392561;-70,6534935
26302247;5;0;0;0;-33,4437818;-70,6610537
26302262;4;1;0;0;-33,4797227;-70,5412093
26302274;9;1;0;0;-33,4911175;-70,6569726
26302293;2;1;0;0;-29,870283;-71,2282097
26302336;2;0;0;0;-34,1845553;-70,6919756
26302366;2;0;1;0;-33,4297335;-70,7314946
26302367;2;0;1;0;-33,6230608;-70,6238951
26302428;2;0;0;0;-34,2251508;-70,962901
26302503;7;1;1;1;-33,467249;-70,6488434
26302693;10;1;1;1;-33,7231983;-70,736196
26302773;2;1;0;0;-33,5215305;-70,6536725
26302815;2;1;1;0;-36,4222917;-71,9591441
26302819;2;0;0;0;-36,5901346;-72,0965737
26302962;2;1;0;0;-38,7349661;-72,5778748
26303071;2;1;0;0;-33,4965502;-70,77184
26303167;1;1;0;0;-33,4536394;-70,6935257
26303427;5;1;1;0;-38,755738;-72,6405467
26303435;8;1;1;0;-33,4987805;-70,6553581
26303452;3;0;0;0;-33,421684;-70,7609463
26303457;5;1;0;0;-33,4224431;-70,7616733
26303468;8;1;1;0;-35,450095;-71,6954596
26304535;12;1;0;0;-33,3998907;-70,7383179
26304597;9;1;1;1;-20,2659297;-70,0997899
26304703;7;1;1;0;-33,0430381;-71,3558178
26304736;9;0;0;1;-33,3875589;-71,1658319
26304747;9;1;1;0;-20,2205357;-70,1464125
26304766;9;0;1;1;-18,4785139;-70,292134
26304838;9;0;0;1;-33,5444934;-70,6220311
26305013;9;1;1;0;-23,6332634;-70,3845963
26305067;9;0;0;0;-33,3229172;-70,7517691
26305126;9;0;0;0;-33,3811443;-70,7360919
26305162;5;1;0;0;-33,4466809;-70,652443
26305307;9;0;1;0;-37,8080409;-72,6978365
26305311;7;0;0;0;-33,4532983;-70,6539145
26305346;7;1;0;0;-33,053605;-71,3919586
26305406;9;1;1;1;-33,4338352;-70,6588609
26305481;12;0;0;0;-38,7073124;-72,5444892
26305485;9;1;0;0;-41,4624011;-72,9122286
26305491;9;0;0;1;-33,4057002;-70,6586741
26305511;9;0;0;1;-33,4690433;-70,6285574
26305591;10;1;1;1;-20,2178944;-70,1431889
26305717;8;0;1;0;-33,4746942;-70,69119
26309892;2;0;0;0;-23,668387;-70,400797
26309903;1;0;0;0;-33,0761236;-71,4351502
26309925;1;1;1;0;-34,5732653;-71,0029822
26309944;1;1;1;0;-33,5605949;-70,5956104
26309986;1;1;0;0;-33,6158123;-70,7128374
26310015;1;1;0;0;-37,4614312;-72,3403052
26310049;1;0;1;0;-41,4696956;-72,9445763
26310078;1;1;1;0;-33,7222207;-70,7449302
26310080;1;0;1;0;-33,5866618;-70,5487635
26310141;1;1;1;0;-40,6840921;-72,6026023
26310183;1;0;1;0;-33,4884741;-70,6784918
26310251;1;0;0;0;-20,2663698;-70,1282529
