mrun;cod_nivel;rbd_admitido;cod_curso_admitido
189088;9;16652;131000000133
189831;6;6112;611000000233
190201;9;12242;131000000133
190237;5;25542;511000000133
190493;10;8487;231000000112
190536;9;2319;131000000133
190611;4;5128;411000000113
191004;8;9891;811000000131
191593;12;578;441041005133
192204;11;15646;331000000133
192649;11;373;331000000133
192848;12;8930;431000000111
193524;7;4578;711000000133
193725;12;13333;471072007133
193878;9;31005;131000000133
194630;8;25288;811000000133
194732;9;26037;131000000133
195239;11;7772;351052010133
196167;10;9082;231000000133
196300;5;10638;511000000233
196573;11;24685;341041005133
196816;8;15515;811000000133
196914;11;9489;341041002133
197099;5;24420;511000000131
197691;8;9289;811000000133
198436;9;2939;131000000133
198691;6;40073;611000000133
200223;6;12225;611000000133
200294;9;8507;131000000131
200854;7;22588;711000000133
201159;7;5315;711000000133
201531;8;31432;811000000133
202243;8;24626;811000000133
202321;9;9065;131000000131
202659;9;25303;131000000131
203555;9;25095;131000000131
203962;9;8514;131000000111
204600;10;4977;231000000133
205103;8;8348;811000000133
205254;12;18049;431000000133
205539;9;1489;131000000133
206208;10;8457;231000000113
206596;8;4984;811000000133
207485;11;10967;331000000133
207901;10;1199;231000000133
209912;4;19;411000000133
210452;6;17638;611000000133
212661;10;8813;231000000131
213273;9;3305;131000000133
213506;9;9779;131000000133
214683;10;2123;231000000133
215567;11;2657;361061003133
216091;9;22752;171072007133
216915;10;11608;231000000133
217190;12;8930;431000000111
217409;5;1339;511000000133
218453;4;10450;411000000133
219321;9;10396;131000000133
219532;10;5662;231000000132
219698;10;9897;231000000133
220111;9;4560;131000000133
220116;6;26137;611000000133
220442;7;25352;711000000133
220696;5;9194;511000000131
220868;8;4181;811000000133
221323;6;1587;611000000111
222030;10;25766;231000000133
222231;7;302;711000000133
223312;9;26501;131000000133
223381;5;26172;511000000133
223885;9;8;131000000133
224070;11;1685;351051009133
224384;8;9906;811000000133
224512;10;8997;231000000131
224622;10;9759;231000000111
224855;12;26115;431000000133
225292;5;24685;511000000133
225409;9;10507;131000000113
225840;5;40298;511000000133
226134;11;9328;341041005131
226283;10;1194;231000000133
226428;10;25032;231000000133
226842;9;12655;131000000133
226881;9;2283;131000000133
227077;3; ; 
227096;9;9584;131000000133
227555;9;22544;131000000133
228217;9;10076;131000000133
228329;8;4665;811000000131
228616;9;6766;131000000133
229851;7;2862;711000000131
230597;7;5440;711000000133
230617;11;10746;331000000133
