school_id,grade_id,program_id,regular_vacancies
27,5,211,3
27,6,212,1
27,7,213,4
27,8,214,3
28,-1,215,30
28,0,216,1
28,1,217,37
28,2,218,8
28,3,219,9
28,4,220,3
28,5,221,2
28,6,222,6
28,7,223,3
28,8,224,8
29,-1,225,50
29,0,226,13
29,1,227,20
29,2,228,12
29,3,229,19
29,4,230,8
29,5,231,21
29,6,232,9
29,7,233,8
29,8,234,4
31,-1,235,40
31,0,236,9
31,1,237,8
31,2,238,0
31,3,239,2
31,4,240,1
31,5,241,2
31,6,242,6
31,7,243,3
31,8,244,5
32,-1,245,60
32,0,246,3
32,1,247,3
32,2,248,0
32,3,249,7
32,4,250,5
32,5,251,7
32,6,252,3
32,7,253,7
32,8,254,1
32,9,255,18
32,10,256,10
32,11,257,19
32,12,258,1
33,-1,259,20
33,0,260,3
33,1,261,1
33,2,262,0
33,3,263,4
33,4,264,0
33,5,265,0
33,6,266,4
33,7,267,0
33,8,268,0
35,-1,269,13
35,0,270,16
35,1,271,5
35,2,272,4
35,3,273,14
35,4,274,3
35,5,275,2
35,6,276,0
35,7,277,0
36,-1,278,30
36,0,279,10
36,1,280,33
36,2,281,25
36,3,282,1
36,4,283,0
36,5,284,12
36,6,285,4
36,7,286,0
36,8,287,1
38,-1,288,35
38,0,289,11
38,1,290,0
38,2,291,7
38,3,292,5
38,4,293,7
38,5,294,5
38,6,295,4
38,7,296,7
38,8,297,6
39,0,298,10
39,1,299,1
39,2,300,0
39,3,301,2
39,4,302,2
39,5,303,2
39,6,304,1
41,1,305,10
41,2,306,0
41,3,307,1
41,4,308,0
41,5,309,1
41,6,310,0
42,1,311,5
42,2,312,2
42,3,313,1
42,4,314,0
42,5,315,3
42,6,316,3
45,-1,317,40
45,0,318,15
45,1,319,48
45,2,320,25
45,3,321,12
45,4,322,11
45,5,323,13
45,6,324,25
45,7,325,16
45,8,326,19
45,9,327,32
45,10,328,14
45,11,329,17
45,12,330,9
50,1,331,45
50,2,332,2
50,3,333,2
50,4,334,1
50,5,335,0
50,6,336,1
50,7,337,1
50,8,338,0
50,9,339,2
50,10,340,4
50,11,341,1
50,12,342,1
52,-1,343,140
52,0,344,70
52,1,345,85
